NED UNIVERSITY - HEC APPROVED PhD SUPERVISORS
==============================================

IMPORTANT NOTE:
All PhD Supervisors available on this search list need to apply again at
HEC E-Portal as this list will be discarded soon.

Register at: http://eportal.hec.gov.pk/asa

Total Supervisors: 179

---
S.No.  Name                           Designation                     Subject
91     Dr. Muhammad Qureshi Amir      Assistant Professor             Engineering & Technology
92     Dr. Muhammad Rizwan            Assistant Professor             Engineering & Technology
93     Dr. Muhammad Sajid Ali Asghar  Assistant Professor             Engineering & Technology
94     Dr. Muhammad Shakaib           Associate Professor             Engineering & Technology
95     Dr. Muhammad Sohail            Assistant Professor             Engineering & Technology
96     Dr. Muhammad Tufail            Professor                       Engineering & Technology
97     Dr. Muhammad Umer Farooq       Assistant Professor             Physical Sciences
98     Dr. Muhammad Uzair             Associate Professor             Engineering & Technology
99     Dr. Muhammad Uzair Yousuf      Assistant Professor             Engineering & Technology
100    Dr. Muhammad Wasif             Associate Professor             Engineering & Technology
101    Dr. Muhammad Yousuf Tufail     Lecturer                        Physical Sciences
102    Dr. Mukesh Kumar               Associate Professor             Earthquake Engineering
103    Dr. Mumtaz Hussain Qureshi     Assistant Professor             Engineering & Technology
104    Dr. Murk Marvi                 Assistant Professor             Engineering & Technology
105    Dr. Mushtaq Hussain            Assistant Professor             Physical Sciences
106    Dr. Nafis Haque                Associate Professor             Engineering & Technology
107    Dr. Najeed Ahmed Khan          Associate Professor             Physical Sciences
108    Dr. Najmi Ghani Haider         Professor                       Engineering & Technology
109    Dr. Nasiruddin Shaikh          Professor                       Engineering & Technology
110    Dr. Nisar Ahmed Shar           Assistant Professor             Biological Sciences
111    Dr. Noman Ahmed                Professor                       Social Sciences
112    Dr. Noman Uddin Yousuf         Assistant Professor             Engineering & Technology
113    Dr. Nuzhat Arshad              Associate Professor             Physical Sciences
114    Dr. Prof Dr Saud Hashmi        Professor                       Engineering & Technology
115    Dr. Quratulain Mohtashim       Associate Professor             Engineering & Technology
116    Dr. Rafia Usman                Assistant Professor             Physical Sciences
117    Dr. Rafiq Ahmed                Assistant Professor             Engineering & Technology
118    Dr. Raheela Asif               Associate Professor             Physical Sciences
119    Dr. Raja Masood Larik          Assistant Professor             Engineering & Technology
120    Dr. Rana Rabnawaz Ahmed        Assistant Professor             Engineering & Technology
121    Dr. Rashid Ahmed Khan          Professor                       Engineering & Technology
122    Dr. Raza Ali Khan              Associate Professor             Social Sciences
123    Dr. Riaz Uddin                 Assistant Professor             Engineering & Technology
124    Dr. Rizwan Aslam Butt          Assistant Professor             Engineering & Technology
125    Dr. Saad Ahmed Qazi            Professor                       Engineering & Technology
126    Dr. Saad Nadeem                Assistant Professor             Engineering & Technology
127    Dr. Saad Qasim Khan            Assistant Professor             Engineering & Technology
128    Dr. Sadaf Qasim                Associate Professor             Engineering & Technology
129    Dr. Sadaqat Khan               Professor                       Engineering & Technology
130    Dr. Sadia Khan                 Associate Professor             Engineering & Technology
131    Dr. Sadia Muniza Faraz         Associate Professor             Engineering & Technology
132    Dr. Saeed Ud Din Ahmed         Assistant Professor             Social Sciences
133    Dr. Saeeda Nadir Ali           Associate Professor             Physical Sciences
134    Dr. Saima Gul                  Lecturer                        Physical Sciences
135    Dr. Saira Faisal               Assistant Professor             Engineering & Technology
136    Dr. Sajida Zaki                Professor                       Arts & Humanities
137    Dr. Saleha Bano                Lecturer                        Engineering & Technology
138    Dr. Salma Farooq               Associate Professor             Textile Engineering
139    Dr. Saman Hina                 Associate Professor             Physical Sciences
140    Dr. Saqib Jamshed Rind         Assistant Professor             Engineering & Technology
141    Dr. Sarosh Hashmat Lodi        Meritorious, Professor          Engineering & Technology
142    Dr. Shahid Hussain             Assistant Professor             Material Science & Engineering
143    Dr. Shamsoon Fareed            Assistant Professor             Engineering & Technology
144    Dr. Shariq Mahmood Khan        Professor                       Physical Sciences
145    Dr. Shazia Perveen             Assistant Professor             Physical Sciences
146    Dr. Sheheryar Mohsin Qureshi   Assistant Professor             Engineering & Technology
147    Dr. Shehnila Zardari           Professor                       Physical Sciences
148    Dr. Shenela Naqvi              Associate Professor             Engineering & Technology
149    Dr. Sheraz Hussain Siddique    Assistant Professor             Textiles
150    Dr. Sundus Ali                 Assistant Professor             Engineering & Technology
151    Dr. Suneela Ahmed              Associate Professor             Social Sciences
152    Dr. Sunila Akbar               Assistant Professor             Engineering & Technology
153    Dr. Syed Abbas Ali             Professor                       Physical Sciences
154    Dr. Syed Ahmad Raza            Assistant Professor             Engineering & Technology
155    Dr. Syed Ali Ammar Taqvi       Assistant Professor             Engineering & Technology
156    Dr. Syed Amir Iqbal            Professor                       Engineering & Technology
157    Dr. Syed Aqeel Haider          Assistant Professor             Engineering & Technology
158    Dr. Syed Farhan Hasany         Assistant Professor             Engineering & Technology
159    Dr. Syed Imran Ahmed           Professor                       Engineering & Technology
160    Dr. Syed Mehmood Hasan         Assistant Professor             Engineering & Technology
161    Dr. Syed Mohammad Wasim Raza   Assistant Professor             Biomechanics Orthopaedic Surgery
162    Dr. Syed Muhammad Usman Ali    Professor                       Engineering & Technology
163    Dr. Syed Murtuza Mehdi         Associate Professor             Engineering & Technology
164    Dr. Syed Riaz Un Nabi Jafri    Assistant Professor             Engineering & Technology
165    Dr. Syeda Saria Bukhary        Assistant Professor             Engineering & Technology
166    Dr. Tahir Malik                Assistant Professor             Engineering & Technology
167    Dr. Tariq Iqbal                Professor                       Engineering & Technology
168    Dr. Tariq Jamil                Assistant Professor             Engineering & Technology
169    Dr. Tariq Rehman               Lecturer                        Engineering & Technology
170    Dr. Tehmina Ayub Soomro        Assistant Professor             Engineering & Technology
171    Dr. Umbrin Sultana             Assistant Professor             Engineering & Technology
172    Dr. Uneb Gazder                Assistant Professor             Civil Engineering
173    Dr. Usman Allauddin            Assistant Professor             Engineering & Technology
174    Dr. Usman Amjad                Assistant Professor             Physical Sciences
175    Dr. Uzair Majeed               Assistant Professor             Physical Sciences
176    Dr. Waseemullah Nazir          Assistant Professor             Physical Sciences
177    Dr. Yawar Rehman               Assistant Professor             Engineering & Technology
178    Dr. Zahoor Ul Hussain Awan     Professor                       Chemical Engineering
179    Dr. Zeeshan Ali Lashari        IPFP Post Doc Fellow            Engineering & Technology
